hidden neurons h1; msle; best sol idx
1;13.478776001811621;23
2;0.1998544014953262;56
3;0.21842664323042874;67
4;0.1989428763217594;57
5;0.18008510227227092;247
6;0.1806085738080058;236
7;0.19931451120779883;54
8;0.17554217953587054;247
9;0.16734149318132827;198
10;0.1674509520109613;156
11;0.17944508534462297;88
12;1.09906716275571;128
13;0.17267096079700622;69
14;0.16945938419050244;91
15;0.1691277833275534;94
16;0.1695533536708177;98
17;0.1739835790140712;62
18;0.17152274498595527;62
19;0.1730995885323529;60
20;0.16702838394772354;164
21;0.16627393160293352;57
22;0.17445786533071034;79
23;0.17307096876908298;57
24;0.16730289663841474;219
25;0.1688330537792462;63
26;0.1685809997925118;66
27;0.17255703838013892;64
28;0.17642424601820572;63
29;0.17073376160949025;63
30;0.17005114503464294;73
31;0.16676763662354863;87
32;0.16661671776676654;70
33;0.17236027065201184;126
34;0.16908027864807282;78
35;0.1681501169109819;70
36;0.1618250837670037;74
37;0.16935806115764884;62
38;0.17449730372250968;70
39;0.16698754720426912;71
40;0.1644093119534687;78
41;0.16838837408307772;81
42;0.1713513630687894;86
43;0.168860197215531;77
44;0.16349812184103685;197
45;0.16944722574741686;52
46;0.17279430838366647;66
47;0.17377364126900535;68
48;0.16807286672627747;66
49;0.16472601880185048;67
50;0.17067842455349158;63
51;0.16568516492843627;88
52;0.16614403374752595;96
53;0.1650269081343466;65
54;0.1684847968134714;86
55;0.16121503237764634;96
56;0.16131740520842633;82
57;0.1733674342211206;75
58;0.16365961985505043;164
59;0.16280540770559168;61
60;0.17089493362168173;93
61;0.17001625833226675;63
62;0.16712877456821612;66
63;0.16820952606141865;59
64;0.17124454064748773;55
65;0.16695919598809522;88
66;0.17146885882859206;74
67;0.17175481180053445;56
68;0.172516069394439;63
69;0.16831722775501992;61
70;0.16678241925749612;51
71;0.16890926885960708;63
72;0.17127375380316778;57
73;0.1665177748126177;69
74;0.16867249390082573;52
75;0.16791016202957476;68
76;0.16853207478772347;55
77;0.17248091101646423;55
78;0.16510112831248572;62
79;0.16766450744659747;86
80;0.1685466565599489;64
81;0.1675386810628929;83
82;0.16290669736280963;77
83;0.16772028271535142;70
84;0.1608590873171441;82
85;0.16964989783455484;66
86;0.1697486459171001;84
87;0.17111185692732606;76
88;0.16658011227104794;71
89;0.17258735801746597;44
90;0.17011247985991673;80
91;0.16496501293644977;53
92;0.16961507316845567;86
93;0.16709758212317283;51
94;0.16928392845896345;66
95;0.16576594919411103;60
96;0.17089258761548284;69
97;0.1613920032978058;54
98;0.1729005745987394;62
99;0.16637512845779534;75
