batch size; msle; best sol idx
16;0,16828515819500928;19
32;0,1612542561778975;39
48;0,1662867760035529;43
64;0,160858410300307;50
80;0,16959797980180427;82
96;0,17002320774455568;45
112;0,16993262076852333;117
128;0,16672671861316435;67
144;0,16326931101172718;66
160;0,1698389633822797;114
176;0,17242997646035246;67
192;0,1664354939069321;72
208;0,17325692935962583;83
224;0,1681829141740182;115
240;0,17083104911135205;113
256;0,17136157838562827;83
272;0,16500628325180033;143
288;0,16017057602085286;108
304;0,16396867125781614;137
320;0,16973853074199524;117
336;0,1724927653127642;113
352;0,17163006701872716;125
368;0,17422523519292993;108
384;0,17211276292800903;147
400;0,16849848427879277;140
416;0,1693167994568004;148
432;0,16656647360146934;133
448;0,1715664226617386;166
464;0,17518250049643255;100
480;0,16899995661493558;144
496;0,17030434814555134;183
512;0,17109335635728504;167
528;0,16974883822362816;181
544;0,170199906099495;228
560;0,1746486733060571;149
576;0,16768361948319335;199
592;0,1641909385795024;155
608;0,1689340266570523;182
624;0,1653371388787654;221
640;0,16661636553593537;232
656;0,16850988753695986;228
672;0,17487973117116673;187
688;0,17486896855914177;175
704;0,17301713443217587;246
720;0,1632730669494885;227
736;0,17358585016347874;220
752;0,16847877085801974;205
768;0,16819588461918616;211
784;0,17537537288309923;179
800;0,17155509416143694;241
816;0,1757217848923669;219
832;0,16437630800168906;240
848;0,16973074216451217;238
864;0,17538530052597842;238
880;0,17080884942071356;224
896;0,1708384903212685;249
912;0,16879483670441073;241
928;0,1722314492980046;238
944;0,16609350588191207;245
960;0,17426464450893117;243
976;0,1700119344749261;244
992;0,1685277290012113;244
1008;0,17239805175297296;247
1024;0,17136743133933982;249
1040;0,17320235829744765;243
1056;0,17389855189109915;249
1072;0,1730716476837794;237
1088;0,17601966946872313;203
1104;0,17331915137483112;247
1120;0,17131053978827462;244
1136;0,17156757915494453;248
1152;0,17489586272346438;232
1168;0,17303407683004787;249
1184;0,17187284334975095;249
1200;0,17416330104443564;244
1216;0,17168580372238634;244
1232;0,17331672083975663;245
1248;0,17419581413269042;248
1264;0,1757152448839216;232
1280;0,16696381272368171;244
1296;0,17244918822352565;249
1312;0,17500162907500766;245
1328;0,17552981625741987;247
1344;0,17469989835326352;246
1360;0,1775915730948472;243
1376;0,1752030996689156;248
1392;0,17556215231098346;241
1408;0,17451589178683152;246
1424;0,1749381383260091;233
1440;0,17397142146060715;244
1456;0,17599772407640865;249
1472;0,1711349074520282;249
1488;0,17638940175077808;247
1504;0,17457140552167275;244
1520;0,17457552535913476;248
1536;0,17548513946248523;248
1552;0,17569035896614416;248
1568;0,17570729197850868;246
1584;0,17589797213006375;247
1600;0,1758261820421883;230
1616;0,17648380535158945;249
1632;0,17728719199771312;248
1648;0,17457571472991165;243
1664;0,17811557247270993;241
1680;0,1770502791475894;247
1696;0,17593665152639892;241
1712;0,17274163740487833;247
1728;0,17516584213989883;233
1744;0,1769400546948115;249
1760;0,1733652150156486;238
1776;0,1767980038230099;248
1792;0,17712099884279925;238
1808;0,17617356173731202;245
1824;0,1756740144829252;230
1840;0,1764180534218081;247
1856;0,17634643082001908;245
1872;0,17698012714955344;247
1888;0,17570729430635176;240
1904;0,17658630106876144;233
1920;0,17622336433894598;242
1936;0,17538416578401975;244
1952;0,17547564549529138;211
1968;0,17756250549608202;242
1984;0,17715736894465203;236
2000;0,17851968865786025;248
2016;0,17855435609817505;243
2032;0,17537380754947662;249
2048;0,17654447257518768;248

