i,j,delta,beta,integral,max_delta,pi
1,2,60,0.07,3084.1346213355077,1.0338406809605178,0.04665933215814944
1,3,60,0.07,3166.0844830761544,1.0774003626581308,0.006491425433876654
1,4,60,0.07,3251.7882440509957,1.148588691570598,-0.05915382366282503
1,5,60,0.07,3235.6816651571007,1.187357922339829,-0.09490428795962019
1,6,60,0.07,3167.815994975988,1.2293764899790862,-0.13365107948435542
1,7,60,0.07,3062.2570677044637,1.3049653493955304,-0.20335421174118012
1,8,60,0.07,3195.3511923563224,1.3940900178305438,-0.28553918713611137
1,9,60,0.07,3358.565641249988,1.4519467817562732,-0.33889093366332085
1,10,60,0.07,3349.257964956091,1.479426887857074,-0.3642313010767626
1,11,60,0.07,3242.5761583433064,1.5756072592098596,-0.45292258702379284
1,12,60,0.07,3439.234641956578,1.6386910888552322,-0.5110943937554316
1,13,60,0.07,14.297005429015805,0.018122763265426813,0.983288365845161
2,3,60,0.07,3022.3222992597216,1.0164168082814728,0.06272649484785839
2,4,60,0.07,3121.4151926951204,1.0876051371939401,-0.002918754248843288
2,5,60,0.07,3119.1504172298796,1.126374367963171,-0.038669218545638456
2,6,60,0.07,3056.44624649383,1.1683929356024283,-0.07741601007037369
2,7,60,0.07,2958.739027774414,1.2439817950188723,-0.1471191423271982
2,8,60,0.07,3094.7349810788705,1.3331064634538856,-0.2293041177221294
2,9,60,0.07,3257.039586805136,1.390963227379615,-0.2826558642493389
2,10,60,0.07,3249.896405147266,1.418443333480416,-0.30799623166278084
2,11,60,0.07,3151.3344048565664,1.5146237048332016,-0.39668751760981114
2,12,60,0.07,3352.4496637184748,1.5777522552848198,-0.4549005629617496
2,13,60,0.07,14.297005429015801,0.018122763265426837,0.983288365845161
3,4,60,0.07,2898.440646444931,0.987941476716486,0.08898459448653899
3,5,60,0.07,2911.590442234773,1.0267107074857171,0.053234130189743614
3,6,60,0.07,2870.2446258166196,1.0687292751249744,0.014487338665008384
3,7,60,0.07,2785.3668495730785,1.1443181345414193,-0.055215793591816935
3,8,60,0.07,2926.0684490474673,1.2334428029764328,-0.13740076898674836
3,9,60,0.07,3087.015104121527,1.2912995669021623,-0.19075251551395786
3,10,60,0.07,3083.167112711741,1.318779673002962,-0.21609288292739856
3,11,60,0.07,2997.938157428989,1.414960044355748,-0.3047841688744293
3,12,60,0.07,3203.0034774977767,1.47816168072857,-0.3630646093117165
3,13,60,0.07,14.297005429015837,0.018122763265426917,0.983288365845161
4,5,60,0.07,2792.6538904749873,0.9724337844087942,0.10328478020525653
4,6,60,0.07,2764.733244205675,1.0144523520480515,0.0645379886805213
4,7,60,0.07,2688.789105804747,1.0900412114644962,-0.00516514357630382
4,8,60,0.07,2832.058133026914,1.1791658798995095,-0.08735011897123504
4,9,60,0.07,2992.2013952594366,1.237022643825239,-0.14070186549844454
4,10,60,0.07,2990.242266445847,1.2645027499260382,-0.16604223291188483
4,11,60,0.07,2912.154392914308,1.3606831212788235,-0.25473351885891493
4,12,60,0.07,3118.2132594630993,1.42392456031296,-0.3130506627229663
4,13,60,0.07,14.297005429015794,0.018122763265426837,0.983288365845161
5,6,60,0.07,2641.04343625195,0.9556263573530913,0.11878349681515063
5,7,60,0.07,2582.400012381589,1.031215216769536,0.049080364558325415
5,8,60,0.07,2728.3896889849666,1.1203398852045494,-0.033104610836605805
5,9,60,0.07,2887.8743546790033,1.1781966491302793,-0.08645635736381573
5,10,60,0.07,2887.7461361977116,1.2056767552310779,-0.1117967247772554
5,11,60,0.07,2817.4038458983878,1.3018571265838632,-0.20048801072428546
5,12,60,0.07,3023.5807103148654,1.365141704230333,-0.2588449342122664
5,13,60,0.07,14.29700542901579,0.018122763265426865,0.983288365845161
6,7,60,0.07,2386.0715056252143,0.9253908135865122,0.14666474971788182
6,8,60,0.07,2537.395267616743,1.0145154820215254,0.06447977432295071
6,9,60,0.07,2695.497868357501,1.0723722459472553,0.011128027795740788
6,10,60,0.07,2698.6963748554613,1.0998523520480536,-0.014212339617698685
6,11,60,0.07,2642.2746225774285,1.1960327234008399,-0.10290362556472957
6,12,60,0.07,2847.3397434207723,1.259394904799323,-0.16133211018793545
6,13,60,0.07,14.297005429015753,0.018122763265426837,0.983288365845161
7,8,60,0.07,2611.2206746806405,0.9673091367447555,0.10801039713682266
7,9,60,0.07,2552.441648528654,0.9442806221558963,0.12924579624798152
7,10,60,0.07,2439.5694217789983,0.9022998242460725,0.16795775898357598
7,11,60,0.07,1778.7134550979786,0.682639758834417,0.3705139915968771
7,12,60,0.07,1895.202401245282,0.7029835063500709,0.35175431014870606
7,13,60,0.07,1778.7675216291354,0.682639758834417,0.3705139915968771
8,9,60,0.07,2551.154725059967,0.9442806221558963,0.12924579624798152
8,10,60,0.07,2438.5081275663306,0.9022998242460725,0.16795775898357598
8,11,60,0.07,1778.7124136502973,0.682639758834417,0.3705139915968771
8,12,60,0.07,1895.1747834219004,0.7029835078319326,0.35175430878222946
8,13,60,0.07,1778.7675216291354,0.682639758834417,0.3705139915968771
9,10,60,0.07,2438.027036464194,0.9022998242460725,0.16795775898357598
9,11,60,0.07,1778.711960808622,0.682639758834417,0.3705139915968771
9,12,60,0.07,1895.177287262486,0.7029835071390234,0.3517543094211854
9,13,60,0.07,1778.7675216291354,0.682639758834417,0.3705139915968771
10,11,60,0.07,1778.7106735016007,0.682639758834417,0.3705139915968771
10,12,60,0.07,1895.1579802125534,0.7029834944685145,0.35175432110510496
10,13,60,0.07,1778.7675216291354,0.682639758834417,0.3705139915968771
11,12,60,0.07,3696.1622043672455,1.2462838912669099,-0.14924198583196463
11,13,60,0.07,2943.4852029538815,1.0844399235594357,0.0
12,13,60,0.07,2943.4852029538815,1.0844399235594357,0.0
